,曲名,アーティスト名,Streams,URL,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
176,FAKE LOVE,BTS,25322,https://open.spotify.com/track/3aW0ds4A4tSQDIp75FqWTo,0.557,0.719,2,-4.515,0,0.0372,0.00267,0.0,0.306,0.344,77.501,audio_features,3aW0ds4A4tSQDIp75FqWTo,spotify:track:3aW0ds4A4tSQDIp75FqWTo,https://api.spotify.com/v1/tracks/3aW0ds4A4tSQDIp75FqWTo,https://api.spotify.com/v1/audio-analysis/3aW0ds4A4tSQDIp75FqWTo,242334,4
177,Feel Special,TWICE,25246,https://open.spotify.com/track/14rWuS6yllHOdfZ8sZsZUj,0.709,0.959,1,-1.339,1,0.0603,0.0296,0.00188,0.107,0.644,128.983,audio_features,14rWuS6yllHOdfZ8sZsZUj,spotify:track:14rWuS6yllHOdfZ8sZsZUj,https://api.spotify.com/v1/tracks/14rWuS6yllHOdfZ8sZsZUj,https://api.spotify.com/v1/audio-analysis/14rWuS6yllHOdfZ8sZsZUj,206868,4
178,愛唄,GReeeeN,25205,https://open.spotify.com/track/7iXHLtPosbHvglVSJ4rxLq,0.505,0.791,8,-3.729,1,0.0308,0.0839,0.0,0.187,0.425,169.964,audio_features,7iXHLtPosbHvglVSJ4rxLq,spotify:track:7iXHLtPosbHvglVSJ4rxLq,https://api.spotify.com/v1/tracks/7iXHLtPosbHvglVSJ4rxLq,https://api.spotify.com/v1/audio-analysis/7iXHLtPosbHvglVSJ4rxLq,236253,4
179,silent,SEKAI NO OWARI,24898,https://open.spotify.com/track/7LsVUX6kePVHSohmWmAwaO,0.508,0.621,0,-5.319,1,0.0341,0.461,0.0,0.139,0.401,87.96,audio_features,7LsVUX6kePVHSohmWmAwaO,spotify:track:7LsVUX6kePVHSohmWmAwaO,https://api.spotify.com/v1/tracks/7LsVUX6kePVHSohmWmAwaO,https://api.spotify.com/v1/audio-analysis/7LsVUX6kePVHSohmWmAwaO,310373,4
180,ON,BTS,24772,https://open.spotify.com/track/3cbLHmmEPvTgHKvl53WYiy,0.583,0.817,9,-5.146,0,0.099,0.118,0.0,0.338,0.437,105.935,audio_features,3cbLHmmEPvTgHKvl53WYiy,spotify:track:3cbLHmmEPvTgHKvl53WYiy,https://api.spotify.com/v1/tracks/3cbLHmmEPvTgHKvl53WYiy,https://api.spotify.com/v1/audio-analysis/3cbLHmmEPvTgHKvl53WYiy,246381,4
181,恋唄,Shota Shimizu,24610,https://open.spotify.com/track/3nmMpo6n2NcX6rU0TiQRXf,0.615,0.507,8,-8.076,1,0.0275,0.335,0.000462,0.0826,0.435,140.028,audio_features,3nmMpo6n2NcX6rU0TiQRXf,spotify:track:3nmMpo6n2NcX6rU0TiQRXf,https://api.spotify.com/v1/tracks/3nmMpo6n2NcX6rU0TiQRXf,https://api.spotify.com/v1/audio-analysis/3nmMpo6n2NcX6rU0TiQRXf,300893,4
182,うたかた歌,RADWIMPS,24530,https://open.spotify.com/track/6kXO7IRJUSVSzbUEhXdqJs,0.608,0.412,7,-5.655,1,0.0261,0.04,0.0,0.255,0.275,129.835,audio_features,6kXO7IRJUSVSzbUEhXdqJs,spotify:track:6kXO7IRJUSVSzbUEhXdqJs,https://api.spotify.com/v1/tracks/6kXO7IRJUSVSzbUEhXdqJs,https://api.spotify.com/v1/audio-analysis/6kXO7IRJUSVSzbUEhXdqJs,350626,4
183,ロマンチシズム,Mrs. GREEN APPLE,24499,https://open.spotify.com/track/0JcI7OdALbpSFkyKoufRYs,0.598,0.878,10,-3.144,1,0.0634,0.0038,0.0,0.0468,0.901,125.529,audio_features,0JcI7OdALbpSFkyKoufRYs,spotify:track:0JcI7OdALbpSFkyKoufRYs,https://api.spotify.com/v1/tracks/0JcI7OdALbpSFkyKoufRYs,https://api.spotify.com/v1/audio-analysis/0JcI7OdALbpSFkyKoufRYs,213613,4
184,花に亡霊,ヨルシカ,24459,https://open.spotify.com/track/3FUqp10RhCmMjyyB9extmo,0.646,0.45,4,-6.628,1,0.0482,0.573,0.0,0.0768,0.413,90.01,audio_features,3FUqp10RhCmMjyyB9extmo,spotify:track:3FUqp10RhCmMjyyB9extmo,https://api.spotify.com/v1/tracks/3FUqp10RhCmMjyyB9extmo,https://api.spotify.com/v1/audio-analysis/3FUqp10RhCmMjyyB9extmo,241227,4
185,Rainbow (feat. Taka),ReN,24425,https://open.spotify.com/track/6BuTdLWETxfrszBbnf2EzX,0.611,0.525,11,-6.541,1,0.0313,0.654,0.0,0.0911,0.451,124.975,audio_features,6BuTdLWETxfrszBbnf2EzX,spotify:track:6BuTdLWETxfrszBbnf2EzX,https://api.spotify.com/v1/tracks/6BuTdLWETxfrszBbnf2EzX,https://api.spotify.com/v1/audio-analysis/6BuTdLWETxfrszBbnf2EzX,220925,4
186,クリスマスソング,back number,24424,https://open.spotify.com/track/5P8ZvBQoCrujjNcLAxO3Su,0.404,0.705,4,-3.324,1,0.0315,0.128,0.0,0.123,0.42,154.02,audio_features,5P8ZvBQoCrujjNcLAxO3Su,spotify:track:5P8ZvBQoCrujjNcLAxO3Su,https://api.spotify.com/v1/tracks/5P8ZvBQoCrujjNcLAxO3Su,https://api.spotify.com/v1/audio-analysis/5P8ZvBQoCrujjNcLAxO3Su,340080,4
187,いつか,Saucy Dog,24409,https://open.spotify.com/track/0v3iUTe5rskRsxbUhboRlT,0.603,0.509,7,-4.535,1,0.0263,0.0941,0.0,0.201,0.445,79.989,audio_features,0v3iUTe5rskRsxbUhboRlT,spotify:track:0v3iUTe5rskRsxbUhboRlT,https://api.spotify.com/v1/tracks/0v3iUTe5rskRsxbUhboRlT,https://api.spotify.com/v1/audio-analysis/0v3iUTe5rskRsxbUhboRlT,274872,4
188,すきにやる,HENTAI SHINSHI CLUB,24408,https://open.spotify.com/track/1ZAf544wBzejgwnvenHYLU,0.7,0.689,1,-7.016,1,0.0857,0.15,0.0,0.156,0.713,93.132,audio_features,1ZAf544wBzejgwnvenHYLU,spotify:track:1ZAf544wBzejgwnvenHYLU,https://api.spotify.com/v1/tracks/1ZAf544wBzejgwnvenHYLU,https://api.spotify.com/v1/audio-analysis/1ZAf544wBzejgwnvenHYLU,217037,4
189,Love Song,Uru,24384,https://open.spotify.com/track/2aAuO61alPO20xyePFHjdf,0.575,0.583,9,-4.72,1,0.0309,0.569,0.0,0.0894,0.39,137.766,audio_features,2aAuO61alPO20xyePFHjdf,spotify:track:2aAuO61alPO20xyePFHjdf,https://api.spotify.com/v1/tracks/2aAuO61alPO20xyePFHjdf,https://api.spotify.com/v1/audio-analysis/2aAuO61alPO20xyePFHjdf,286413,4
190,別の人の彼女になったよ,wacci,24375,https://open.spotify.com/track/666wLEFj1AtTNBEcErygLz,0.528,0.617,2,-5.07,1,0.0263,0.0299,0.0,0.334,0.497,72.023,audio_features,666wLEFj1AtTNBEcErygLz,spotify:track:666wLEFj1AtTNBEcErygLz,https://api.spotify.com/v1/tracks/666wLEFj1AtTNBEcErygLz,https://api.spotify.com/v1/audio-analysis/666wLEFj1AtTNBEcErygLz,304813,4
191,Alcohol-Free,TWICE,24197,https://open.spotify.com/track/3iPbmpKBMflYd7UjdYftoj,0.688,0.909,8,-1.992,1,0.0624,0.0474,1.35e-06,0.0674,0.702,97.097,audio_features,3iPbmpKBMflYd7UjdYftoj,spotify:track:3iPbmpKBMflYd7UjdYftoj,https://api.spotify.com/v1/tracks/3iPbmpKBMflYd7UjdYftoj,https://api.spotify.com/v1/audio-analysis/3iPbmpKBMflYd7UjdYftoj,210573,4
192,ひまわりの約束,Motohiro Hata,24139,https://open.spotify.com/track/45jGOHwYKgsRYbAJ8DR61d,0.523,0.445,10,-6.359,1,0.0329,0.188,0.0,0.18,0.336,78.957,audio_features,45jGOHwYKgsRYbAJ8DR61d,spotify:track:45jGOHwYKgsRYbAJ8DR61d,https://api.spotify.com/v1/tracks/45jGOHwYKgsRYbAJ8DR61d,https://api.spotify.com/v1/audio-analysis/45jGOHwYKgsRYbAJ8DR61d,308147,4
193,オールドファッション,back number,24069,https://open.spotify.com/track/0Xn30nT5EKFPsWvpiJ2Iav,0.386,0.806,6,-3.647,1,0.0499,0.0788,0.0,0.104,0.394,175.953,audio_features,0Xn30nT5EKFPsWvpiJ2Iav,spotify:track:0Xn30nT5EKFPsWvpiJ2Iav,https://api.spotify.com/v1/tracks/0Xn30nT5EKFPsWvpiJ2Iav,https://api.spotify.com/v1/audio-analysis/0Xn30nT5EKFPsWvpiJ2Iav,254440,4
194,My Resort,¥ellow Bucks,24053,https://open.spotify.com/track/7p21ty59l7gtfhDX7rifLa,0.824,0.752,9,-4.496,1,0.035,0.0314,3.93e-06,0.122,0.739,117.991,audio_features,7p21ty59l7gtfhDX7rifLa,spotify:track:7p21ty59l7gtfhDX7rifLa,https://api.spotify.com/v1/tracks/7p21ty59l7gtfhDX7rifLa,https://api.spotify.com/v1/audio-analysis/7p21ty59l7gtfhDX7rifLa,132813,4
195,Midnight,大森元貴,24028,https://open.spotify.com/track/1bI0Y0i234LFlO15koZMsI,0.638,0.75,1,-4.882,0,0.0554,0.0175,0.0,0.374,0.772,119.874,audio_features,1bI0Y0i234LFlO15koZMsI,spotify:track:1bI0Y0i234LFlO15koZMsI,https://api.spotify.com/v1/tracks/1bI0Y0i234LFlO15koZMsI,https://api.spotify.com/v1/audio-analysis/1bI0Y0i234LFlO15koZMsI,230271,4
196,ピースサイン,Kenshi Yonezu,23921,https://open.spotify.com/track/5aHfGUxRec6c41luxkDqhX,0.593,0.935,10,-3.853,0,0.0684,0.00221,0.0,0.315,0.618,100.003,audio_features,5aHfGUxRec6c41luxkDqhX,spotify:track:5aHfGUxRec6c41luxkDqhX,https://api.spotify.com/v1/tracks/5aHfGUxRec6c41luxkDqhX,https://api.spotify.com/v1/audio-analysis/5aHfGUxRec6c41luxkDqhX,238533,4
197,パラボラ,Official HIGE DANdism,23898,https://open.spotify.com/track/55pezTty1DSrrc8wlOMZbA,0.597,0.769,0,-6.081,0,0.032,0.00888,0.0,0.191,0.498,124.011,audio_features,55pezTty1DSrrc8wlOMZbA,spotify:track:55pezTty1DSrrc8wlOMZbA,https://api.spotify.com/v1/tracks/55pezTty1DSrrc8wlOMZbA,https://api.spotify.com/v1/audio-analysis/55pezTty1DSrrc8wlOMZbA,305813,4
198,なないろ,BUMP OF CHICKEN,23830,https://open.spotify.com/track/1k1zTwX433BlwP6FLOPBpD,0.593,0.862,9,-4.347,1,0.0299,0.0178,0.0,0.101,0.84,124.978,audio_features,1k1zTwX433BlwP6FLOPBpD,spotify:track:1k1zTwX433BlwP6FLOPBpD,https://api.spotify.com/v1/tracks/1k1zTwX433BlwP6FLOPBpD,https://api.spotify.com/v1/audio-analysis/1k1zTwX433BlwP6FLOPBpD,259878,4
199,何度でも,DREAMS COME TRUE,23819,https://open.spotify.com/track/6Qq8UOS6QzeSYFUVXC5wEB,0.551,0.768,4,-5.147,1,0.0386,0.213,0.0,0.253,0.35,100.037,audio_features,6Qq8UOS6QzeSYFUVXC5wEB,spotify:track:6Qq8UOS6QzeSYFUVXC5wEB,https://api.spotify.com/v1/tracks/6Qq8UOS6QzeSYFUVXC5wEB,https://api.spotify.com/v1/audio-analysis/6Qq8UOS6QzeSYFUVXC5wEB,222760,4
